SeriesTicker,SeriesName,EventTicker,MarketTicker,Time,EventEndTime,VolumeInDollar,OpenInterest,YesProb,NoProb,EventResult,RulesPrimary,KalshiURL,Tags
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11UNMGC,KXNCAAMBGAME-26FEB11UNMGC-GC,2026-02-11T23:00:00+00:00,2026-02-12T05:24:44Z,1546984.00,9660,0.53,0.47,no,"If Grand Canyon wins the New Mexico at Grand Canyon men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11unmgc,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11LMUPAC,KXNCAAMBGAME-26FEB11LMUPAC-PAC,2026-02-12T00:00:00+00:00,2026-02-12T05:20:31Z,264276.00,1866,0.71,0.29,yes,"If Pacific wins the Loyola Marymount at Pacific men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11lmupac,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11LMUPAC,KXNCAAMBGAME-26FEB11LMUPAC-LMU,2026-02-11T23:00:00+00:00,2026-02-12T05:20:31Z,385824.00,213,0.3,0.7,no,"If Loyola Marymount wins the Loyola Marymount at Pacific men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11lmupac,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11PEPPSMC,KXNCAAMBGAME-26FEB11PEPPSMC-SMC,2026-02-11T23:00:00+00:00,2026-02-12T05:09:59Z,58971.00,9327,0.98,0.02,yes,"If Saint Mary's wins the Pepperdine at Saint Mary's men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11peppsmc,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11PEPPSMC,KXNCAAMBGAME-26FEB11PEPPSMC-PEPP,2026-02-11T23:00:00+00:00,2026-02-12T05:09:59Z,700883.00,128934,0.03,0.97,no,"If Pepperdine wins the Pepperdine at Saint Mary's men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11peppsmc,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11PORTUSD,KXNCAAMBGAME-26FEB11PORTUSD-USD,2026-02-11T23:00:00+00:00,2026-02-12T05:01:18Z,246539.00,4350,0.6,0.4,yes,"If San Diego wins the Portland at San Diego men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11portusd,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11PORTUSD,KXNCAAMBGAME-26FEB11PORTUSD-PORT,2026-02-11T23:00:00+00:00,2026-02-12T05:01:18Z,259672.00,3065,0.42,0.58,no,"If Portland wins the Portland at San Diego men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11portusd,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11LIBNMSU,KXNCAAMBGAME-26FEB11LIBNMSU-NMSU,2026-02-11T22:00:00+00:00,2026-02-12T04:21:10Z,289596.00,783,0.37,0.63,no,"If New Mexico St. wins the Liberty at New Mexico St. men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11libnmsu,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11LIBNMSU,KXNCAAMBGAME-26FEB11LIBNMSU-LIB,2026-02-11T22:00:00+00:00,2026-02-12T04:21:10Z,726120.00,26746,0.63,0.37,yes,"If Liberty wins the Liberty at New Mexico St. men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11libnmsu,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11CREIDEP,KXNCAAMBGAME-26FEB11CREIDEP-DEP,2026-02-11T23:00:00+00:00,2026-02-12T04:30:40Z,937247.00,7393,0.49,0.51,yes,"If DePaul wins the Creighton at DePaul men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11creidep,Basketball
